,Year,Month,Day,no_tot,datetime,no_stupid,no_obama,no_liberal,no_idiot,no_conservative,no_values,no_principles,stupid_rate,obama_rate,liberal_rate,idiot_rate,conservative_rate,values_rate,principles_rate
103,2015,2,6,6522,2015-02-06,13,279,43,9,129,1,11,0.0019932536031892056,0.042778288868445265,0.006593069610548912,0.0013799448022079118,0.019779208831646734,0.00015332720024532353,0.0016865992026985587
104,2015,2,7,5416,2015-02-07,10,349,65,6,113,15,8,0.001846381093057607,0.06443870014771048,0.012001477104874446,0.0011078286558345643,0.02086410635155096,0.0027695716395864105,0.0014771048744460858
105,2015,2,9,4437,2015-02-09,6,311,22,14,94,6,3,0.001352265043948614,0.07009240477800316,0.004958305161144917,0.0031552851025467656,0.021185485688528283,0.001352265043948614,0.000676132521974307
106,2015,2,10,4916,2015-02-10,8,697,31,22,127,11,8,0.0016273393002441008,0.14178193653376728,0.006305939788445891,0.004475183075671277,0.025834011391375103,0.0022375915378356386,0.0016273393002441008
107,2015,2,11,6485,2015-02-11,9,582,73,12,166,3,2,0.0013878180416345412,0.089745566692367,0.01125674633770239,0.0018504240555127216,0.025597532767925982,0.0004626060138781804,0.00030840400925212025
108,2015,2,12,5607,2015-02-12,30,345,152,21,86,2,1,0.005350454788657036,0.061530230069555915,0.027108970929195647,0.003745318352059925,0.01533797039415017,0.0003566969859104691,0.00017834849295523454
109,2015,2,13,4773,2015-02-13,17,260,28,19,84,3,1,0.0035617012361198407,0.054473077728891685,0.005866331447726796,0.003980724910957469,0.01759899434318039,0.0006285355122564425,0.00020951183741881415
110,2015,2,14,4103,2015-02-14,13,161,23,10,88,8,4,0.003168413356080916,0.03923958079454058,0.005605654399220083,0.0024372410431391664,0.021447721179624665,0.0019497928345113332,0.0009748964172556666
111,2015,2,15,4954,2015-02-15,5,253,31,12,120,4,3,0.0010092854259184498,0.05106984255147356,0.006257569640694388,0.0024222850222042794,0.024222850222042795,0.0008074283407347598,0.0006055712555510698
112,2015,2,16,5507,2015-02-16,10,716,26,17,95,8,1,0.0018158707100054477,0.13001634283639005,0.004721263846014164,0.003086980207009261,0.01725077174505175,0.001452696568004358,0.00018158707100054475
113,2015,2,18,6605,2015-02-18,19,358,36,11,181,1,1,0.0028766086298258895,0.05420136260408781,0.005450416351249054,0.0016654049962149886,0.027403482210446632,0.0001514004542013626,0.0001514004542013626
114,2015,2,19,6879,2015-02-19,22,537,33,12,139,12,1,0.003198139264427969,0.07806367204535543,0.004797208896641954,0.0017444395987788923,0.020206425352522168,0.0017444395987788923,0.00014536996656490768
115,2015,2,20,7500,2015-02-20,49,705,127,22,215,4,4,0.006533333333333334,0.094,0.016933333333333335,0.0029333333333333334,0.028666666666666667,0.0005333333333333334,0.0005333333333333334
116,2015,2,21,4466,2015-02-21,5,584,27,12,98,3,4,0.0011195700850873264,0.13076578593819974,0.006045678459471563,0.0026869682042095834,0.0219435736677116,0.0006717420510523958,0.0008956560680698612
117,2015,2,22,4568,2015-02-22,9,354,26,5,89,4,4,0.001970227670753065,0.07749562171628721,0.005691768826619965,0.0010945709281961471,0.01948336252189142,0.0008756567425569177,0.0008756567425569177
118,2015,2,23,5331,2015-02-23,27,399,34,7,106,3,3,0.005064715813168261,0.07484524479459764,0.006377790283248921,0.0013130744700806604,0.019883699118364285,0.0005627462014631402,0.0005627462014631402
119,2015,2,25,5129,2015-02-25,11,323,33,13,273,1,6,0.0021446675765256387,0.06297523883798012,0.006434002729576916,0.0025346071358939366,0.05322674985377267,0.00019496977968414895,0.0011698186781048938
120,2015,2,26,6982,2015-02-26,17,492,59,24,302,1,4,0.0024348324262389,0.07046691492409052,0.008450300773417359,0.0034374104841019765,0.04325408192494987,0.00014322543683758235,0.0005729017473503294
121,2015,2,27,7969,2015-02-27,102,323,80,40,231,5,24,0.012799598443970385,0.04053206173923955,0.01003890074036893,0.005019450370184465,0.028987325887815284,0.0006274312962730581,0.003011670222110679
